,date,company,symbol,dividend,eps,grossProfit,nasdaqIndex,marketcap,pe,price,revenuePerShare
0,2017-12-05,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6762.209961,950693315,33.5143,33.5143,0
1,2017-12-06,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6776.379883,950693315,33.3652,33.3652,0
2,2017-12-07,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6812.839844,950693315,33.5641,33.5641,0
3,2017-12-08,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6840.080078,950693315,33.763,33.763,0
4,2017-12-11,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6875.080078,950693315,33.5641,33.5641,0
5,2017-12-12,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6862.319823999999,950693315,33.6635,33.6635,0
6,2017-12-13,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6875.799805,950693315,33.6635,33.6635,0
7,2017-12-14,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6856.529785,950693315,33.8127,33.8127,0
8,2017-12-15,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6936.580078,950693315,35.7022,35.7022,0
9,2017-12-18,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6994.759765999999,950693315,35.4536,35.4536,0
10,2017-12-19,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6963.850098000001,950693315,34.5088,34.5088,0
11,2017-12-20,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6960.959961,950693315,33.8624,33.8624,0
12,2017-12-21,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6965.359863,950693315,33.8127,33.8127,0
13,2017-12-22,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6959.959961,950693315,33.7132,33.7132,0
14,2017-12-26,Associated Capital Group Inc.,AC,0.1,-0.022499999999999992,21029000.0,6936.25,950693315,33.7132,33.7132,0
